,generation,best_reward,mean_reward,worst_reward
88,89,812.1011612289775,702.753977683996,434.365470663785
89,90,872.8441845865397,736.8753697825089,567.3550511005499
90,91,834.5957213083456,725.9558267519436,534.9493551317701
91,92,858.7871312944031,711.0086931306458,510.328022939833
92,93,845.6577677443502,743.9532381939902,547.1502849940136
93,94,835.4633083384706,730.0602819068596,613.2636206944561
94,95,834.9814121915609,756.7030615340375,620.8762575413273
95,96,875.3288065087194,712.2602649813946,492.75972297929013
96,97,864.250668179698,711.9137467441317,525.7269297766755
97,98,879.3297402262785,780.7903530003234,645.2264542972969
98,99,879.9205636367012,746.9205384203512,445.98410141827407
99,100,882.3382010647904,738.5375515701764,595.7956203879127
100,101,877.9259274681157,744.2228869347488,569.3676574451396
101,102,846.0256330647765,748.28319085009,564.6031928157366
102,103,879.3197672602817,732.1590617602322,491.1652779339001
103,104,833.1609681160468,712.4220174205711,469.12509947079445
104,105,885.8214336610125,744.2500206043842,518.9747254569066
105,106,885.630026497028,722.0881859021832,429.56535122538605
106,107,827.6656380528633,699.7907296347805,502.218791893251
107,108,868.1792481386127,743.0369345544871,393.57051150084857
108,109,897.1557809215703,764.4087872775997,592.3721351245352
109,110,867.5782324394874,746.1705864015021,529.6491804838892
110,111,897.1103804897333,786.8700709389722,637.6033016473217
111,112,870.4784915325021,766.8667095161821,501.6864862498148
112,113,861.0499024336104,738.6457739767542,442.5939974359008
113,114,849.6029617897366,720.0534788214361,374.59012948430774
114,115,864.9090442208301,778.7590945804922,586.5079797906944
115,116,863.5743716401068,717.8919352652244,302.3331398979144
116,117,882.7498133506531,761.993679601263,636.836575260876
117,118,889.8511630626933,778.55247578255,575.8098834698718
118,119,881.1036615240631,761.843038213442,616.2232374958676
119,120,846.5176140597252,733.9329195691264,537.1683317799984
120,121,852.7418067369161,756.5425684079266,605.4315859125184
121,122,854.9460672450158,760.665157265861,484.29968285858047
122,123,901.114681195107,759.6387294365428,404.9901801554789
123,124,851.4798502704662,758.5165640171796,575.6162685841231
124,125,878.218178024139,768.304736061985,571.4535007176848
125,126,901.8356372215623,793.0406302398338,704.8227027666192
126,127,887.0374689623774,802.4655183702854,643.7733288216621
127,128,893.8274834191359,834.5617478421827,744.7900201442566
128,129,866.4887117482103,775.9381152786225,689.6172544682229
129,130,861.8808592935021,761.0683544804742,607.1690125940424
130,131,888.0059305426739,796.656612433356,622.0594536899707
131,132,891.7798078143969,807.9911784922704,674.8199035467499
132,133,897.3142393834376,786.1194213778992,595.320389968451
133,134,894.7981392621411,773.812434109952,626.3258223612526
134,135,881.9636341585917,806.295621690989,675.8842611266774
135,136,891.2243654722758,838.0266678842834,710.4046697342856
136,137,890.4324185407584,799.9394018052725,603.3049601897429
137,138,882.5104688296138,800.530702115744,577.0831268716754
138,139,890.0283730943777,804.9309264480464,652.9141470205446
139,140,883.0198857038704,797.82531129231,656.1668533494058
140,141,859.7832332003323,763.9564861468814,472.7143111732404
141,142,895.0296044826117,807.1274507858226,738.8801957285317
142,143,890.9001713275362,805.1302080849707,632.3397161965925
143,144,872.2396311449394,794.7715883754026,635.1093475610336
144,145,864.1891044094994,758.2275508145198,601.8801687627322
145,146,906.6146879432916,789.3286850154727,645.2768591984624
146,147,892.4587587621803,790.640627916072,676.2036811867487
147,148,856.0481294053326,772.502011871027,662.9429370139894
148,149,861.2569348486105,740.577043873948,519.0505938609689
149,150,885.5624423634825,776.4365127142731,654.0559603693328
150,151,857.1900414518132,772.0615028091989,664.115404824177
151,152,871.5930208961618,769.4459350026588,549.5582413470482
152,153,892.5343666575361,784.1329257723166,665.8671341987423
153,154,877.3714071640734,761.2981560747487,474.199819686879
154,155,887.3378825481708,768.3599273498478,552.843593670445
155,156,875.3968199918401,767.8980545637322,560.6715446898639
156,157,879.2626086979654,772.3076153449593,594.3265994000709
